label,problem
bài toán năng suất công việc,hai đội công nhân cùng làm một công việc thì làm xong trong 4 giờ nếu mỗi đội làm một mình xong công việc đó thì đội thứ nhất cần ít thời gian hơn đội thứ hai là 6 giờ hỏi mỗi đội làm một mình xong công việc đó trong bao lâu 
bài toán năng suất công việc,hai vòi nước cùng chảy vào một bể không có nước thì sau 4h48 phút thì đầy bể một giờ lượng nước của vòi một chảy được bằng 15 lần lượng nước của vòi hai chảy hỏi mỗi vòi chảy riêng thì sau bao lâu đầy bể 
bài toán năng suất công việc,hai bạn an bình cùng làm chung một công việc thì hoàn thành sau 6 ngày nếu làm riêng thì bình làm xong việc lâu hơn an làm xong việc là 9 ngày hỏi nếu an làm một mình 3 ngày rồi nghỉ thì bình hoàn thành nốt công việc trong thời gian bao lâu 
bài toán năng suất công việc,bác công nhân muốn đổ bê tông 1 ống cống hình trụ không có hai đáy dài 6m có đường kính ngoài 1m đường kính trong 08m hỏi bác công nhân đó cần dùng bao nhiêu m3 bê tông để làm ống cống đó làm tròn đến hàng phần mười 
bài toán năng suất công việc,để làm một vỏ hộp đựng sữa bột đúng tiêu chuẩn loại 850 gam nhà sản xuất làm vỏ hộp hình trụ có đường kính đáy là 12 cm chiều cao của hộp là 15 cm hãy tính diện tích vật liệu dùng để làm vỏ hộp sữa bột nêu trên làm tròn đến chữ số thập phân thứ hai biết phần ghép nối không đáng kể 
bài toán năng suất công việc,hai xí nghiệp theo kế hoạch phải làm tổng cộng 720 dụng cụ nhờ sắp xếp hợp lý dây chuyền sản xuất nên xí nghiệp i vượt mức 10 kế hoạch xí nghiệp ii vượt mức 12 kế hoạch do đó cả hai xí nghiệp đã làm được 800 dụng cụ tính số dụng cụ mỗi xí nghiệp làm được theo thực tế 
bài toán năng suất công việc,25 điểm giải bài toán sau bằng cách lập phương trình hoặc hệ phương trình  hai vòi nước cùng chảy vào một bể không có nước thì sau 4giờ 48phút bể đầy mỗi giờ  lượng nước vòi một chảy được bằng 15lần lượng nước của vòi hai chảy hỏi mỗi vòi chảy riêng thì sau bao lâu bể đầy  
bài toán năng suất công việc,để chở hết 60 tấn hàng một đội xe dự định sử dụng một số xe cùng loại trước khi khởi hành có 2 xe được điều động đi làm việc khác vì vậy mỗi xe còn lại phải chở nhiều hơn dự định 1 tấn hàng hỏi lúc đầu đội dự định dùng bao nhiêu xe 
bài toán năng suất công việc,giải bài toán bằng cách lập phương trình hoặc hệ phương trình hưởng ứng phong trào trồng cây xanh vì một môi trường xanh sạch đẹp một chi đoàn thanh niên dự định trồng 120 cây xanh khi thực hiện chi đoàn đó đã tăng cường thêm 3 đoàn viên nữa nên mỗi đoàn viên đã trồng ít hơn 2 cây so với dự định hỏi lúc đầu chi đoàn thanh niên đó có bao nhiêu đoàn viên biết rằng số cây của mỗi đoàn viên trồng là như nhau 
bài toán năng suất công việc,giải bài toán bằng cách lập phương trình hoặc hệ phương trình một đội xe dự định dùng một số xe cùng loại để chở hết 60 tấn hàng phục vụ đồng bào vùng cao đón tết lúc sắp khởi hành có ba xe phải điều đi làm việc khác vì vậy mỗi xe còn lại phải chở nhiều dơn dự định là 1 tấn hàng tính số xe lúc đầu của đội nếu lượng hàng mỗi xe phải chở là như nhau 
bài toán năng suất công việc,một đội xe dự định chở 24 tấn hàng thực tế khi chở đội được bổ sung thêm 4 xe nữa nên mỗi xe chở ít hơn dự định 1 tấn hỏi dự định ban đầu đội có bao nhiêu xe biết khối lượng hàng chở trên mỗi xe như nhau 
bài toán năng suất công việc,một lâm trường dự định trồng 75ha rừng trong một số tuần do mỗi tuần trồng vượt mức 5ha so với kế hoạch nên đã trồng được 80ha hoàn thành sớm hơn 1 tuần hỏi mỗi tuần lâm trường dự định trồng bao nhiêu ha rừng 
bài toán năng suất công việc,hai vòi nước cùng chảy vào một bể không có nước thì sau 7 giờ 12phút đầy bể nếu mở 3 vòi 1 chảy trong 5 giờ rồi khóa lại mở tiếp vòi 2 chảy trong 6 giờ thì cả hai vòi chảy được bể 4 tính thời gian mỗi vòi chảy một mình đầy bể 
bài toán năng suất công việc,để chở hết 120 tấn hàng ủng hộ đồng bào vùng cao biên giới một đội xe dự định dùng một số xe cùng loại lúc sắp khởi hành họ được bổ sung thêm 5 xe cùng loại của đội nhờ vậy so với dự định ban đầu mỗi xe phải chở ít hơn 2 tấn hỏi lúc đầu đội có bao nhiêu xe nếu khối lượng hàng mỗi xe phải chở bằng nhau 
bài toán năng suất công việc,hai vòi nước cùng chảy vào một bể không có nước thì sau 2 giờ 55phút sẽ đầy bể nếu để chảy một mình thì vòi thứ nhất chảy đầy bể nhanh hơn hơn vòi thứ hai là 2giờ tính thời gian mỗi vòi chảy một mình đầy bể 
bài toán năng suất công việc,hai tổ sản xuất phải hoàn thành 90 sản phẩm theo kế hoạch khi thực hiện tổ i làm vượt mức 15 kế hoạch tổ ii làm vượt mức 12 kế hoạch của tổ do đó cả hai tổ làm được 102 sản phẩm hỏi thực tế mỗi tổ sản xuất được bao nhiêu sản phẩm 
bài toán năng suất công việc,giải bài toán sau bằng cách lập phương trình hoặc hệ phương trình  tháng thứ nhất hai tổ sản xuất được 800 sản phẩm sang tháng thứ hai tổ 1 vượt 150  tổ 2 vượt 200 sản phẩm so với tháng thứ nhất do đó cuối tháng cả hai tổ 0 0 xản xuất được 945 sản phẩm tính xem trong tháng thứ nhất mỗi tổ sản xuất được bao nhiêu sản phẩm 
bài toán năng suất công việc,hai tổ sản xuất phải hoàn thành 90 sản phẩm theo kế hoạch khi thực hiện tổ i làm vượt mức 15 kế hoạch tổ ii làm vượt mức 12 kế hoạch của tổ do đó cả hai tổ làm được 102 sản phẩm hỏi thực tế mỗi tổ sản xuất được bao nhiêu sản phẩm 
bài toán năng suất công việc,một đội xe theo kế hoạch chở hết 120 tấn hàng trong một số ngày quy định do mỗi ngày đội đó chở vượt mức 5 tấn nên đội đã hoàn thành kế hoạch sớm hơn thời gian quy định 1 ngày chở thêm được 5 tấn hỏi theo kế hoạch đội xe chở hết số hàng đó trong bao nhiêu ngày 
bài toán năng suất công việc,giải bài toán sau bằng cách lập phương trình hoặc hệ phương trình một đội xe cần vận chuyển 160 tấn gạo với khối lượng gạo mỗi xe chở bằng nhau khi sắp khởi hành thì đội được bổ sung thêm 4 xe nữa nên mỗi xe chở ít hơn dự định lúc đầu 2 tấn gạo khối lượng gạo mỗi xe chở bằng nhau hỏi đội xe ban đầu có bao nhiêu chiếc 
bài toán năng suất công việc,một đoàn xe vận tải dự định điều một số xe cùng loại để vận chuyển 40 tấn hàng lúc sắp khởi hành đoàn xe được giao thêm 14 tấn nữa do đó phải điều thêm 2 xe cùng loại trên mỗi xe chở thêm 05 tấn tìm số lượng xe phải điều theo dự định biết mỗi xe đều chở số lượng hàng như nhau mỗi xe không chở quá 3 tấn hàng 
bài toán năng suất công việc,một đoàn xe vận tải dự định điều một số xe cùng loại để vận chuyển 40 tấn hàng lúc sắp khởi hành đoàn xe được giao thêm 14 tấn nữa do đó phải điều thêm 2 xe cùng loại trên mỗi xe phải chở thêm 05 tấn tìm số lượng xe phải điều theo dự định biết mỗi xe đều chở số lượng hàng như nhau mỗi xe chở không quá 3 tấn hàng 
bài toán năng suất công việc,hai tổ của một nhà máy sản xuất khẩu trang trong một ngày sản xuất được 1500 chiếc khẩu trang để đáp ứng nhu cầu khẩu trang trong dịch cúm do chủng mới virut corona gây ra nên mỗi ngày tổ một vượt mức75 tổ hai vượt mức 68 cả hai tổ sản xuất được 2583 chiếc khẩu trang hỏi ban đầu trong một ngày mỗi tổ sản xuất được bao nhiêu chiếc khẩu trang 
bài toán năng suất công việc,hai người thợ cùng làm chung một công việc sau 3 giờ 36 phút thì xong nếu mỗi người làm một mình thì người thứ nhất hoàn thành công việc chậm hơn người thứ hai là 3 giờ hỏi nếu làm một mình thì mỗi người phải làm trong bao nhiêu giờ để xong việc 
bài toán năng suất công việc,theo kế hoạch hai tổ sản xuất phải làm 330 sản phẩm trong một thời gian nhất định khi thực hiện do tổ i đã sản xuất vượt mức kế hoạch là10 tổ ii làm giảm 15 so với kế hoạch nên cả hai tổ làm được 318 sản phẩm hỏi số sản phẩm được giao theo kế hoạch của mỗi tổ là bao nhiêu 
bài toán năng suất công việc,hai người cùng làm chung một công việc thì sau 18 giờ thì xong nếu một mình người thứ nhất làm trong 6 giờ sau đó một mình người thứ hai làm trong 8 giờ thì cả hai người 2 làm được công việc hỏi nếu mỗi người làm một mình thì sau bao nhiêu giờ xong công 5 việc 
bài toán năng suất công việc,hai vòi nước cùng chảy vào một bể cạn không có nước thì sau 4 giờ đầy bể nếu chảy riêng thì vòi thứ nhất sẽ chảy đầy bể nhanh hơn vòi thứ hai là 6 giờ hỏi nếu chảy riêng thì mỗi vòi mất bao lâu mới chảy đầy bể 
bài toán năng suất công việc,hai phân xưởng của một nhà máy theo kế hoạch phải làm tổng cộng 300 dụng cụ khi thực hiện phân xưởng i vượt mức 10 kế hoạch của mình phân xưởng ii vượt mức 20 kế hoạch của mình do đó cả hai phân xưởng đã làm được 340 dụng cụ tính số dụng cụ mỗi phân xưởng phải làm theo kế hoạch 
bài toán năng suất công việc,hai đội công nhân dệt may cần sản xuất một số lượng khẩu trang theo đơn đặt hàng  nếu làm chung thì sau 4 giờ họ sẽ làm xong hai đội mới làm chung được 3 giờ thì đội 1 nghỉ  đội 2 tiếp tục làm trong 3 giờ nữa mới xong  hỏi mỗi đội nếu làm một mình thì phải bao lâu mới xong công việc  
bài toán năng suất công việc,đầu năm hai công ty chế biến nông sản tỉnh bình thuận dự định xuất khẩu 1010 tấn thanh long do thực tế dịch bệnh covid 19 diễn biến phức tạp tại trung quốc nên sản lượng xuất khẩu thanh long của công ty thứ nhất giảm 15 công ty thứ hai giảm 10 vì vậy cả hai công ty chỉ xuất khẩu được 900 tấn thanh long hỏi theo dự định mỗi công ty xuất khẩu được bao nhiêu tấn thanh long 
bài toán năng suất công việc,giải bài toán bằng cách lập phương trình hoặc hệ phương trình một xí nghiệp theo kế hoạch phải lắp ráp 800 chiếc máy tính nếu một ngày lắp ráp thêm 10 máy tính thì không những hoàn thành sớm hơn 1 ngày so với kế hoạch mà còn lắp ráp thêm 10 máy tính  tính số máy tính lắp ráp mỗi ngày theo kế hoạch  
